category,category_id
Adventure,001
Tools,002
Productivity,003
Communication,004
Social,005
Libraries & Demo,006
Lifestyle,007
Personalization,008
Racing,009
Maps & Navigation,010
Travel & Local,011
Food & Drink,012
Books & Reference,013
Medical,014
Puzzle,015
Entertainment,016
Arcade,017
Auto & Vehicles,018
Photography,019
Health & Fitness,020
Education,021
Shopping,022
Board,023
Music & Audio,024
Sports,025
Beauty,026
Business,027
Educational,028
Finance,029
News & Magazines,030
Casual,031
Art & Design,032
House & Home,033
Card,034
Events,035
Trivia,036
Weather,037
Strategy,038
Word,039
Video Players & Editors,040
Action,041
Simulation,042
Music,043
Dating,044
Role Playing,045
Casino,046
Comics,047
Parenting,048
